Package,pip,conda-forge,docs,about,compass,
numpy,1,1,https://numpy.org/install/,scientific computing,,
pandas,1,1,https://pandas.pydata.org/docs/getting_started/index.html,data structures and data analysis,W2D2,
geopandas,1,1,https://geopandas.org/en/stable/getting_started/install.html,add support for geographic data to pandas objects,W3D2,
matplotlib,1,1,https://matplotlib.org/stable/index.html,visualization,W3D1,
seaborn,1,1,https://seaborn.pydata.org/installing.html,statistical data visualization,W3D1,
plotly,1,1,https://plotly.com/python/getting-started/#installation,interactive charts and maps,W3D1,
ipywidgets,1,1,https://ipywidgets.readthedocs.io/en/stable/user_install.html,interactive HTML widgets,W3D3,
jupyter,1,1,https://docs.jupyter.org/en/latest/install.html,"Web-based application for authoring documents that combine live-code with narrative text, equations and visualizations",,
jupyterlab,1,1,https://jupyterlab.readthedocs.io/en/stable/getting_started/installation.html,next-generation web-based user interface for Project Jupyter,,
nodejs,0,1,https://nodejs.org/en/,JavaScript runtime used by Jupyterlab,,
flask,1,1,https://flask.palletsprojects.com/en/2.0.x/installation/,lightweight WSGI web application framework,W7D2,
flask_restful,1,0,https://flask-restful.readthedocs.io/en/latest/installation.html,extension for Flask that adds support for quickly building REST APIs,W7D2,
psycopg2,1,1,https://www.psycopg.org/docs/install.html,PostgreSQL adapter for the Python,W2D1,
pymongo,1,0,https://pymongo.readthedocs.io/en/stable/installation.html,tools for working with MongoDB,W7D3,
mongoengine,1,0,https://docs.mongoengine.org/guide/installing.html,Object-Document Mapper,W7D3,
pyspark,1,1,https://spark.apache.org/docs/latest/api/python/getting_started/install.html,interface for Apache Spark in Python,W7D3,
scikit-learn,0,1,https://scikit-learn.org/stable/install.html,machine learning,,
networkx,1,1,https://networkx.org/documentation/stable/install.html,"creation, manipulation, and study of the structure, dynamics, and functions of complex networks",W9D3,
pygraphviz,1,1,https://pygraphviz.github.io/documentation/stable/install.html,Python interface to the Graphviz graph layout and visualization package,W9D3,
graphviz,0,1,https://graphviz.org/download/,graph visualization software,W5D3,
pydotplus,1,1,https://pydotplus.readthedocs.io,Python Interface to Graphvizâ€™s Dot language,W5D3,
xgboost,1,1,https://xgboost.readthedocs.io/en/stable/install.html#python,"gradient boosting library ",W5D3,
beautifulsoup4,1,1,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#installing-beautiful-soup,a Python library for pulling data out of HTML and XML files,W2D3,
lxml,1,1,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#installing-a-parser,3rd party HTML parser used by beautifulsoup4,W2D3,
nltk,1,1,https://www.nltk.org/install.html,work with human language data,W8D3,
gensim,1,0,https://radimrehurek.com/gensim/intro.html#installation," representing documents as semantic vectors",W8D3,
spacy,1,1,https://spacy.io/usage,advanced Natural Language Processing (NLP),W8D4,
en_core_web_sm,0,0,https://spacy.io/models/en#en_core_web_sm,Spacy English pipeline optimized for CPU (install via python command),W8D4,
pyLDAvis,1,1,https://github.com/bmabey/pyLDAvis,interactive topic model visualization,W8D4,
pandas-datareader,1,1,https://pandas-datareader.readthedocs.io/en/latest/,Up-to-date remote data access for pandas,W9D1,
pystan,1,0,https://pystan.readthedocs.io/en/latest/installation.html,"ython interface to Stan, a package for Bayesian inference",W9D2,
prophet,1,0,https://facebook.github.io/prophet/docs/installation.html#installation-in-python,forecasting procedure,W9D2,
mlxtend,1,1,http://rasbt.github.io/mlxtend/,tools for the day-to-day data science tasks,W9D6,
scikit-surprise,1,1,http://surpriselib.com,scikit for building and analyzing recommender systems that deal with explicit rating data,W10D2,
gym,1,1,https://gym.openai.com/docs/,toolkit for developing and comparing reinforcement learning algorithms,W10D3,
gym-legacy-toytext,1,0,https://github.com/Rohan138/gym-legacy-toytext,Legacy Toytext Environments from OpenAI Gym,W10D3,